post_href,bill_of_sale_available,mortgage_available,repair_available,products_label,price,location,room_count,area,floor,city_and_added_time
/items/4737499,False,True,False,Kompleks,1 045 280AZN,Nizami m.,5 otaqlı,278 m²,15/16 mərtəbə,"Bakı, bugün 22:00"
/items/4744383,False,True,False,Kompleks,493 890AZN,Nizami m.,3 otaqlı,163 m²,10/16 mərtəbə,"Bakı, bugün 22:00"
/items/4690396,False,True,False,Kompleks,352 170AZN,Nizami m.,2 otaqlı,117 m²,4/16 mərtəbə,"Bakı, bugün 22:00"
/items/4791865,True,False,True,,102 000AZN,Memar Əcəmi m.,2 otaqlı,50 m²,5/5 mərtəbə,"Bakı, bugün 21:59"
/items/4744387,False,True,False,Kompleks,359 190AZN,Nizami m.,2 otaqlı,117 m²,9/16 mərtəbə,"Bakı, bugün 21:59"
/items/4744384,False,True,False,Kompleks,487 370AZN,Nizami m.,3 otaqlı,163 m²,6/16 mərtəbə,"Bakı, bugün 21:59"
/items/4744382,False,True,False,Kompleks,502 040AZN,Nizami m.,3 otaqlı,163 m²,14/16 mərtəbə,"Bakı, bugün 21:59"
/items/4738972,False,True,False,Kompleks,360 360AZN,Nizami m.,2 otaqlı,117 m²,10/16 mərtəbə,"Bakı, bugün 21:59"
/items/4539515,False,False,False,Agentlik,375 000AZN,Şah İsmayıl Xətai m.,3 otaqlı,125 m²,18/20 mərtəbə,"Bakı, bugün 21:59"
/items/4738969,False,True,False,Kompleks,679 800AZN,Nizami m.,4 otaqlı,220 m²,10/16 mərtəbə,"Bakı, bugün 21:59"
/items/4762622,True,True,True,Agentlik,275 000AZN,8 Noyabr m.,3 otaqlı,85 m²,5/12 mərtəbə,"Bakı, bugün 21:59"
/items/4515281,True,True,True,Agentlik,1 450 000AZN,İçəri Şəhər m.,5 otaqlı,136 m²,4/4 mərtəbə,"Bakı, bugün 21:58"
/items/4735325,False,True,False,Kompleks,228 240AZN,Nizami m.,1 otaqlı,72 m²,13/16 mərtəbə,"Bakı, bugün 21:58"
/items/4738960,False,True,False,Kompleks,734 160AZN,Nizami m.,4 otaqlı,266 m²,3/16 mərtəbə,"Bakı, bugün 21:58"
/items/4738958,False,True,False,Kompleks,717 600AZN,Nizami m.,4 otaqlı,276 m²,3/16 mərtəbə,"Bakı, bugün 21:58"
/items/4690398,False,True,False,Kompleks,416 480AZN,Nizami m.,2 otaqlı,152 m²,3/16 mərtəbə,"Bakı, bugün 21:58"
/items/4836478,True,False,True,,142 000AZN,Elmlər Akademiyası m.,2 otaqlı,47.1 m²,19/20 mərtəbə,"Bakı, bugün 22:01"
/items/4690403,False,True,False,Kompleks,1 485 000AZN,Nizami m.,8 otaqlı,450 m²,16/16 mərtəbə,"Bakı, bugün 21:57"
/items/4656470,True,True,True,Agentlik,335 000AZN,8 Noyabr m.,3 otaqlı,160 m²,15/21 mərtəbə,"Bakı, bugün 21:57"
/items/4797145,True,True,True,Agentlik,430 000AZN,Nizami m.,3 otaqlı,174 m²,9/22 mərtəbə,"Bakı, bugün 21:57"
/items/4423005,True,False,True,Agentlik,340 000AZN,8 Noyabr m.,3 otaqlı,150 m²,8/16 mərtəbə,"Bakı, bugün 21:56"
/items/4672585,True,True,True,,460 000AZN,Nəriman Nərimanov m.,3 otaqlı,198 m²,15/16 mərtəbə,"Bakı, bugün 21:56"
/items/4765452,False,False,True,Agentlik,167 000AZN,28 May m.,2 otaqlı,62 m²,10/11 mərtəbə,"Bakı, bugün 21:56"
/items/4431683,False,False,False,Agentlik,680 000AZN,Ağ şəhər q.,4 otaqlı,194 m²,14/20 mərtəbə,"Bakı, bugün 21:56"
/items/4836475,False,False,True,Agentlik,359 000AZN,Nəsimi r.,3 otaqlı,125 m²,8/18 mərtəbə,"Bakı, bugün 22:26"
/items/4800021,True,False,True,,68 000AZN,Masazır q.,2 otaqlı,57 m²,1/6 mərtəbə,"Bakı, bugün 21:55"
/items/4836474,True,False,True,,120 000AZN,Biləcəri q.,3 otaqlı,60 m²,2/5 mərtəbə,"Bakı, bugün 21:55"
/items/4828671,False,False,True,,90 000AZN,Masazır q.,3 otaqlı,76 m²,3/6 mərtəbə,"Bakı, bugün 21:54"
