post_id,bill_of_sale_available,mortgage_available,repair_available,products_label,price,location,room_count,area,floor_number,total_floors,region,added_time
4836523,True,False,True,default,115000,Neftçilər m.,3,55.0,2,5,Bakı,2024-12-14 22:58:00
4819907,False,False,True,default,85500,Masazır q.,3,82.0,6,7,Bakı,2024-12-14 22:57:00
4836519,True,False,True,default,207000,20 Yanvar m.,5,120.0,3,9,Bakı,2024-12-14 22:56:00
4765846,False,False,True,default,115000,Əhmədli m.,2,52.3,4,7,Bakı,2024-12-14 22:56:00
4369020,False,False,True,Agentlik,450000,Nardaran q.,2,80.0,1,4,Bakı,2024-12-14 22:55:00
4816242,True,False,True,default,57000,Masazır q.,2,42.0,5,6,Bakı,2024-12-14 22:55:00
3220065,False,False,False,Agentlik,750000,Nardaran q.,4,180.0,2,3,Bakı,2024-12-14 22:54:00
4698761,False,False,True,Agentlik,275000,Nardaran q.,1,52.0,2,2,Bakı,2024-12-14 22:54:00
4558588,False,False,True,Agentlik,272000,Nardaran q.,1,46.0,4,5,Bakı,2024-12-14 22:53:00
4321180,True,False,True,default,290000,8 Noyabr m.,2,98.0,4,27,Bakı,2024-12-14 22:52:00
4799945,True,True,True,default,166000,Həzi Aslanov m.,3,91.0,18,20,Bakı,2024-12-14 22:52:00
3824155,True,False,False,default,418684,Elmlər Akademiyası m.,2,110.2,7,18,Bakı,2024-12-14 22:48:00
4727776,True,True,True,default,83000,Yeni Günəşli q.,2,51.0,8,10,Bakı,2024-12-14 22:49:00
3824160,True,False,False,default,597854,Elmlər Akademiyası m.,4,157.3,10,18,Bakı,2024-12-14 22:47:00
4635915,True,False,False,default,469870,Elmlər Akademiyası m.,3,123.6,14,18,Bakı,2024-12-14 22:41:00
4836512,True,False,True,default,105000,Xalqlar Dostluğu m.,2,45.0,5,5,Bakı,2024-12-14 22:40:00
4833958,True,False,True,default,155000,Yeni Günəşli q.,4,81.0,7,9,Bakı,2024-12-14 22:40:00
3824150,True,False,False,default,469870,Elmlər Akademiyası m.,3,123.7,11,18,Bakı,2024-12-14 22:40:00
4237623,True,False,False,default,543730,Elmlər Akademiyası m.,2,98.9,15,18,Bakı,2024-12-14 22:38:00
4836511,True,True,True,Agentlik,264000,İnşaatçılar m.,3,125.5,6,17,Bakı,2024-12-14 22:38:00
4623256,True,True,True,Agentlik,125000,Yasamal r.,2,45.0,7,12,Bakı,2024-12-14 22:38:00
4190770,True,False,False,default,1128215,Elmlər Akademiyası m.,4,205.1,15,18,Bakı,2024-12-14 22:37:00
4831223,True,False,False,default,120000,Xətai r.,2,80.5,6,15,Bakı,2024-12-14 22:37:00
4190890,True,False,False,default,833195,Elmlər Akademiyası m.,4,151.5,15,18,Bakı,2024-12-14 22:37:00
4836508,True,True,True,default,163000,İnşaatçılar m.,3,80.0,5,9,Bakı,2024-12-14 22:50:00
4732828,True,True,True,default,298000,Bayıl q.,3,110.0,7,9,Bakı,2024-12-14 22:36:00
4694618,True,True,True,default,327000,8 Noyabr m.,2,102.0,6,27,Bakı,2024-12-14 22:34:00
4760504,True,True,True,default,105000,20 Yanvar m.,2,46.0,5,5,Bakı,2024-12-14 22:34:00
4836509,False,False,True,default,155000,Bayıl q.,2,63.5,11,17,Bakı,2024-12-14 22:33:00
4794991,True,False,True,default,285000,Gənclik m.,3,115.0,17,19,Bakı,2024-12-14 22:30:00
4836507,True,True,True,default,139000,İnşaatçılar m.,2,56.0,9,12,Bakı,2024-12-14 22:28:00
4326058,True,True,True,Agentlik,800000,Gənclik m.,4,217.0,4,12,Bakı,2024-12-14 22:29:00
4789843,True,False,True,default,345000,28 May m.,3,100.0,11,16,Bakı,2024-12-14 22:28:00
4179611,True,False,False,Kompleks,589950,Nəriman Nərimanov m.,4,207.0,11,19,Bakı,2024-12-14 22:28:00
3891057,False,False,False,Kompleks,390450,Nərimanov r.,3,137.0,14,19,Bakı,2024-12-14 22:27:00
4836500,True,False,True,default,125000,Lökbatan q.,3,78.0,2,4,Bakı,2024-12-14 22:27:00
3891147,False,False,False,Kompleks,615000,Nərimanov r.,4,217.0,15,19,Bakı,2024-12-14 22:27:00
4760051,True,False,True,Agentlik,92000,Masazır q.,2,63.0,6,14,Bakı,2024-12-14 22:27:00
3998452,False,False,False,default,230000,Neftçilər m.,3,130.0,2,17,Bakı,2024-12-14 22:26:00
4836506,False,False,True,default,245000,Əhmədli q.,3,93.0,8,16,Bakı,2024-12-14 22:26:00
4836504,True,True,True,default,139000,Biləcəri q.,5,100.0,5,5,Bakı,2024-12-14 22:25:00
